buffer_size,time
20,576.697062
19,577.698631
18,578.700383
17,579.706982
16,580.708718
15,581.710352
14,582.712164
13,583.715089
12,584.716442
11,585.717823
10,586.721443
9,587.722799
8,588.724274
7,589.72533
6,590.726205
5,591.736346
4,592.737692
3,593.739215
2,594.740614
