qi,segment,time_played
6,241,241.133769
6,242,242.135161
6,243,243.136816
6,244,244.138241
6,245,245.139
6,246,246.142068
6,247,247.143038
6,248,248.144414
6,249,249.145865
6,250,250.147018
6,251,251.14852
6,252,252.149911
6,253,253.151101
6,254,254.152714
6,255,255.154331
6,256,256.156107
6,257,257.157721
6,258,258.162015
6,259,259.163102
6,260,260.164587
6,261,261.165976
6,262,262.168108
6,263,263.169647
6,264,264.171093
6,265,265.172895
6,266,266.17437
6,267,267.176203
6,268,268.17814
6,269,269.179026
6,270,270.180492
6,271,271.182345
6,272,272.183011
6,273,273.184468
6,274,274.185817
6,275,275.187123
6,276,276.188469
6,277,277.189878
6,278,278.190969
6,279,279.192609
6,280,280.194059
6,281,281.195065
6,282,282.196636
6,283,283.19828
6,284,284.199141
6,285,285.201637
6,286,286.203668
6,287,287.205576
6,288,288.207131
6,289,289.208465
6,290,290.21019
6,291,291.211007
6,292,292.212855
6,293,293.214185
6,294,294.215133
6,295,295.216585
6,296,296.217937
6,297,297.219092
6,298,298.220465
6,299,299.222086
6,300,300.22303
6,301,301.224492
6,302,302.225834
6,303,303.22728
6,304,304.228716
6,305,305.230256
6,306,306.231101
6,307,307.232451
6,308,308.234023
6,309,309.235166
6,310,310.237088
6,311,311.238682
6,312,312.240493
6,313,313.242164
6,314,314.242967
6,315,315.244572
6,316,316.246705
6,317,317.248216
6,318,318.255043
6,319,319.256467
6,320,320.257822
6,321,321.259075
6,322,322.26083
6,323,323.262258
6,324,324.263149
6,325,325.267453
6,326,326.268822
6,327,327.270268
6,328,328.27103
6,329,329.27247
6,330,330.273914
6,331,331.275191
6,332,332.276559
6,333,333.278435
6,334,334.279096
6,335,335.280598
6,336,336.281065
6,337,337.283637
6,338,338.285394
6,339,339.286721
6,340,340.288526
6,341,341.295167
6,342,342.296554
6,343,343.297932
6,344,344.299175
6,345,345.300728
6,346,346.302147
6,347,347.303214
6,348,348.304683
6,349,349.306086
6,350,350.30703
6,351,351.30887
6,352,352.311116
6,353,353.314489
6,354,354.314995
6,355,355.317432
6,356,356.321349
6,357,357.323215
6,358,358.329369
6,359,359.331025
5,360,360.332559
5,361,361.339131
5,362,362.34081
5,363,363.34244
5,364,364.344141
5,365,365.345798
5,366,366.347056
5,367,367.34845
5,368,368.349872
5,369,369.351009
5,370,370.352387
5,371,371.35383
5,372,372.35504
5,373,373.356391
5,374,374.357822
5,375,375.359215
5,376,376.360927
5,377,377.362577
5,378,378.363186
5,379,379.364528
5,380,380.368962
5,381,381.371037
5,382,382.374509
5,383,383.376272
5,384,384.377734
4,385,385.379
6,386,386.380494
6,387,387.38216
6,388,388.383211
6,389,389.384739
6,390,390.386502
6,391,391.387078
6,392,392.388638
6,393,393.390177
6,394,394.390995
6,395,395.392457
6,396,396.394069
6,397,397.395056
6,398,398.396492
6,399,399.397851
6,400,400.399088
6,401,401.400445
6,402,402.401882
6,403,403.402993
6,404,404.404374
6,405,405.405821
6,406,406.407029
6,407,407.409015
6,408,408.41225
6,409,409.414214
6,410,410.417065
6,411,411.419069
6,412,412.421848
6,413,413.422975
6,414,414.424729
8,415,415.426163
8,416,416.427078
8,417,417.428582
8,418,418.43035
8,419,419.431151
8,420,420.432582
6,421,421.433933
6,422,422.435117
6,423,423.436735
6,424,424.438389
6,425,425.440083
6,426,426.441682
6,427,427.443099
6,428,428.444774
6,429,429.446221
6,430,430.446999
6,431,431.448759
6,432,432.450411
6,433,433.452505
6,434,434.454338
6,435,435.455198
6,436,436.456601
6,437,437.458449
6,438,438.460303
6,439,439.462045
6,440,440.463243
6,441,441.464817
6,442,442.466634
6,443,443.468164
6,444,444.469614
6,445,445.471281
6,446,446.472825
6,447,447.475062
6,448,448.476647
6,449,449.478021
6,450,450.479102
6,451,451.481708
6,452,452.483097
6,453,453.484633
6,454,454.486231
6,455,455.486994
6,456,456.488558
6,457,457.489915
6,458,458.491196
6,459,459.49271
6,460,460.496039
6,461,461.497376
6,462,462.501123
6,463,463.502505
6,464,464.504449
6,465,465.505861
6,466,466.507037
6,467,467.50897
6,468,468.510385
6,469,469.512185
6,470,470.513938
6,471,471.515053
6,472,472.516622
6,473,473.51795
6,474,474.519088
6,475,475.520558
6,476,476.521952
6,477,477.523095
6,478,478.524487
6,479,479.526278
6,480,480.52737
6,481,481.528826
6,482,482.530595
6,483,483.532365
6,484,484.537427
6,485,485.539187
6,486,486.540676
6,487,487.5426
6,488,488.54408
6,489,489.546162
6,490,490.548413
6,491,491.549752
6,492,492.551011
6,493,493.552641
6,494,494.554032
6,495,495.554997
6,496,496.556641
6,497,497.558015
6,498,498.559022
6,499,499.560545
6,500,500.562236
6,501,501.563183
6,502,502.56494
6,503,503.566304
6,504,504.567262
6,505,505.568434
6,506,506.57005
6,507,507.57112
6,508,508.572458
6,509,509.574726
6,510,510.576464
6,511,511.578886
6,512,512.580951
6,513,513.582456
6,514,514.58336
6,515,515.585125
6,516,516.587
6,517,517.589023
6,518,518.590759
6,519,519.59237
6,520,520.594028
6,521,521.595086
6,522,522.597039
6,523,523.598509
6,524,524.600127
6,525,525.6015
6,526,526.604171
6,527,527.610473
6,528,528.612136
6,529,529.613516
6,530,530.616751
6,531,531.620651
6,532,532.622505
6,533,533.626238
6,534,534.627155
6,535,535.629338
6,536,536.63117
6,537,537.632868
6,538,538.634461
6,539,539.635084
6,540,540.63675
6,541,541.638123
6,542,542.639078
6,543,543.640529
6,544,544.642216
6,545,545.643031
6,546,546.644582
6,547,547.645966
6,548,548.647063
6,549,549.648431
6,550,550.650287
6,551,551.652386
6,552,552.654024
6,553,553.654983
6,554,554.656354
6,555,555.65826
6,556,556.660178
6,557,557.66161
6,558,558.663235
6,559,559.664705
6,560,560.666479
6,561,561.667159
6,562,562.676319
6,563,563.678021
6,564,564.679038
6,565,565.680665
6,566,566.682117
6,567,567.68326
6,568,568.684843
6,569,569.686297
6,570,570.687218
6,571,571.689007
6,572,572.691091
6,573,573.692408
6,574,574.69404
6,575,575.695246
6,576,576.697062
6,577,577.698631
6,578,578.700383
6,579,579.706982
6,580,580.708718
6,581,581.710352
6,582,582.712164
6,583,583.715089
6,584,584.716442
6,585,585.717823
6,586,586.721443
6,587,587.722799
6,588,588.724274
6,589,589.72533
6,590,590.726205
6,591,591.736346
6,592,592.737692
6,593,593.739215
6,594,594.740614
6,595,595.742043
6,596,596.743125
